,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
9972,C12ORF66,0.118997748156444,0.00599928150579169,0.0257509677052362,-0.0137524046936528,0.185632668503975
9973,POMK,0.119047840638531,-0.00985387829985382,-0.00214214080529813,-0.0175656157944095,0.185692189809785
9974,SLC25A21,0.119179972193453,-0.00868258365999487,0.00578377786337937,-0.0231489451833691,0.185879651838916
9975,CILP2,0.119309733854836,0.000479921846271207,0.00986222315619015,-0.00890237946364773,0.186063380435672
9976,NFIX,0.119356028603816,0.00924419759557552,0.0322210783686585,-0.0137326831775075,0.186116918700978
9977,HPS6,0.119453271698597,-0.0118022966954848,-9.45724834018231e-05,-0.0235100209075677,0.186249884187969
9978,SMIM11A,0.119487566700195,NA,NA,NA,0.186284685065969
9979,HKDC1,0.11965212408259,0.00356410203539977,0.00956042677166024,-0.0024322227008607,0.186503851926731
9980,PRKD1,0.119640780230664,-0.0159003309170657,0.00138536802751497,-0.0331860298616464,0.186503851926731
9981,EXOC6,0.119770751964329,-4.66275260379428e-05,0.0283425925556695,-0.0284358476077454,0.186670054859944
9982,CNNM2,0.119785612955864,0.0148193481959824,0.0355277086331836,-0.00588901224121885,0.186673496515216
9983,STIM1,0.119796960382579,0.0179941493682848,0.0367012851019089,-0.000712986365339216,0.186673496515216
9984,EPHB4,0.119824296820058,-0.00353009815640105,0.0073738067226049,-0.014434003035407,0.18669739196042
9985,RP11-38H17.1,0.119842678736395,NA,NA,NA,0.186707332040396
9986,RP13-766D20.4,0.119864876123339,0.00738780882066179,0.0281889573025524,-0.0134133396612288,0.186723213796782
9987,AC022182.3,0.1198933380589,0.00878322527493934,0.0365058020852312,-0.0189393515353525,0.186731832728184
9988,GOLGA7,0.119894416642395,0.0241095214578541,0.078269315134595,-0.0300502722188869,0.186731832728184
9989,BCAS4,0.119981994284655,0.0142259713640974,0.0337859098954362,-0.00533396716724142,0.186849524786475
9990,NTN4,0.120064124218537,0.0094390696866297,0.0226440966568394,-0.00376595728358004,0.1869587103447
9991,TOMM20,0.120138127043405,0.0103474248382764,0.0518628566372819,-0.031168006960729,0.187055220126836
9992,FBXL16,0.120177642965196,0.0031540708993673,0.0191784915487893,-0.0128703497500547,0.187098019812508
9993,NOS2,0.120213909401625,0.0217480469464428,0.0501985669258694,-0.00670247303298379,0.187135752491912
9994,DCN,0.120405689124424,-0.0134973549573093,0.000803955658011534,-0.02779866557263,0.18741553932555
9995,VPS37C,0.120488849657555,0.00496448342673766,0.030470557837415,-0.0205415909839396,0.18752621763611
9996,FBXW9,0.12058094273903,-0.0175493627313257,0.011996167108197,-0.0470948925708484,0.187634984296464
9997,HPGD,0.120582857933386,-0.0340853411477826,-0.000508635044859901,-0.0676620472507052,0.187634984296464
9998,NCOA1,0.120670814825508,-0.0195210496847736,0.0181213291877293,-0.0571634285572766,0.187753070156592
9999,RAB9B,0.120720227758884,-0.0033419304446615,0.0179202669960161,-0.0246041278853391,0.187811167418462
10000,ME1,0.120847384036816,0.0142281115751597,0.0381604483434668,-0.00970422519314742,0.187990190607671
10001,TMEM160,0.120932203376204,-0.0295239886036835,0.0279686201514985,-0.0870165973588656,0.1881033252395
10002,C9ORF163,0.12101434866109,0.00874505195665224,0.0190946335613606,-0.00160452964805616,0.188193398611734
10003,FAM136A,0.121038503028439,-0.0354446368215661,0.0228637125732022,-0.0937529862163343,0.188193398611734
10004,NPB,0.121027730555453,-0.0107276758757044,-0.00156705466575281,-0.019888297085656,0.188193398611734
10005,NUF2,0.121003210391514,0.0496298698678544,0.0992731544708139,-1.34147351051397e-05,0.188193398611734
10006,RP11-154H23.3,0.121203383952157,-0.00169918501258581,0.00852628359256371,-0.0119246536177353,0.188430925520663
10007,KPTN,0.121220954327235,-0.0324029287230366,0.000665807353463208,-0.0654716647995364,0.188439408965172
10008,WDR54,0.121258607338814,0.00974823508193917,0.0658611716552764,-0.046364701491398,0.188479106291225
10009,MT1A,0.121332153349049,-0.000627447044327906,0.00130302443397168,-0.00255791852262749,0.188574580627216
10010,TNFAIP3,0.121379155175559,0.018273684607188,0.0396232094394118,-0.00307584022503575,0.188628785006093
10011,ARHGEF10L,0.12140775542603,0.00649386401538197,0.0226904033202213,-0.00970267528945736,0.188654384517762
10012,NOS1,0.121574641260871,0.0176284585746911,0.039170820579434,-0.00391390343005189,0.188894838139644
10013,HEPACAM2,0.121616222142049,-0.00455651914300426,0.00670086121239146,-0.0158138994984,0.188940572420025
10014,RP3-461P17.10,0.121776420865187,0.00891473388135814,0.0196440022648959,-0.00181453450217964,0.189170561511768
