logFC	AveExpr	t	P.Value	adj.P.Val
SYNE1	16.1053849981951	8.83363540205373	3.68577165968994	0.000420310256902052	0.00752847389718904
NRXN2	25.6880392891058	5.90269168397031	3.67868738269099	0.000430362349154282	0.00770088425567944
RGL1	12.9129384394362	6.79158448888889	3.67725914585224	0.000432416439757563	0.00772997902952752
KCNIP1	8.46064906669586	2.0966356694859	3.67676706669074	0.000433126306489354	0.0077350103498173
RAMP2	62.9485116982606	37.0178836012346	3.66887608023831	0.000444662312951436	0.00793317990151993
SNX21	10.3938738376792	7.24558797532232	3.66820907571938	0.000445650706307789	0.00794296495793399
SNRK	12.7822491613314	11.2968419979522	3.66759547569896	0.000446561808227327	0.00795135448475778
METRN	77.9754099370115	11.8116865522222	3.66007756674776	0.000457869580460665	0.0081446652957806
KLHL5	13.6254470616511	9.45397995703977	3.65682353712799	0.000462847989435689	0.0082251185524226
NEURL3	1.28878231202085	0.46927369811069	3.65322377922555	0.000468415295995188	0.00831586840628624
AKAP2	35.1481542374644	17.3330735814815	3.65180319785403	0.000470629810737194	0.00834697567078589
ASPN	29.5831564364321	10.3177774209901	3.65098024486251	0.000471917245182228	0.00836159554638383
GLYCTK	10.3593117029573	5.03254297708422	3.64881718936383	0.000475317134035452	0.00841292481592535
FBP2	1.39738944381466	0.24555117654321	3.64854530710406	0.000475746122240918	0.00841292481592535
PPP1R14A	34.3786380564008	12.9787628327201	3.64812912573813	0.000476403505223736	0.00841630654287137
STARD8	4.60125680765807	2.61891885298075	3.64305057382269	0.000484495262584232	0.00855089146232484
G0S2	22.969564385815	8.51961981481482	3.64223069294103	0.00048581378191217	0.00856578889885178
SLFN12	8.20173081249475	4.05877489347025	3.64181822222775	0.000486478399656741	0.00856913903005118
HIP1	20.0688536338282	11.1599884691358	3.64014066443901	0.000489190379691518	0.0086085110188405
GATA5	1.28406489097916	0.19786734	3.63929395414126	0.000490564642806536	0.00862280014054904
ZCWPW2	0.971073612469635	0.726948964938272	3.63905229148807	0.00049095754884987	0.00862280014054904
EHD4	8.86576999281751	7.22839140740741	3.63833374656316	0.000492127559189076	0.00863494954437199
CADM1	154.515233180872	88.8011091653194	3.63432379984392	0.000498705790298033	0.00874187674158347
EGFL6	16.6006717017544	7.56275283950617	3.63400910673292	0.00049922555867688	0.00874249996305632
PDZRN3	35.7331005198458	14.2964688191469	3.63295338387299	0.000500973024869333	0.00876460074032539
STEAP2	5.00366092184168	1.76655961563338	3.6286527991747	0.000508151739999908	0.00888158728528397
ADAM9	41.6922591747033	25.9261663796913	3.62682096613423	0.000511239102364944	0.00892690715009581
CDH6	23.3285665733288	3.91785120753086	3.62652621502835	0.00051173753595903	0.0089269770161742
PCDH10	3.6664758140449	0.864444487028344	3.62561213237569	0.000513286216889183	0.00894535004433803
CLDN2	1.08515897383992	0.220349356872228	3.62315942740288	0.000517463736469349	0.00900945782252082
NKIRAS1	7.63586344193544	7.67586698958981	3.61896130714922	0.000524689154944106	0.00912645731456247
SHANK3	12.1950915645599	5.47570740864198	3.61829678002714	0.000525841626830103	0.00913770026219202
TTC28	17.5964417799644	5.46860047904205	3.60550123686661	0.000548507062464968	0.00952239905077404
STAMBPL1	7.86155098263222	5.0077478003247	3.60492346702055	0.000549552077449462	0.00953137632886651
SLC24A1	6.45450936110902	4.49852341292078	3.6014023274974	0.00055596175809804	0.0096332913075433
GRK5	18.4556778860549	9.9792136	3.60014672363755	0.000558264506039413	0.00966391721624314
ALS2CL	10.4036165544198	3.38722042364285	3.59890272396313	0.000560554899587648	0.00969427079698754
JCHAIN	1297.73073229657	331.692561426955	3.5954180283578	0.000567018342510363	0.00979666619523886
PGM5	14.0973591598622	3.95054747753695	3.59431917589331	0.000569071131141548	0.00982273353036391
DNM1	243.707595746504	84.3924571773228	3.59328687960639	0.000571006009189649	0.00984671776114528
SIGLEC11	0.75440105708924	0.267087682833763	3.59064839999626	0.000575979841460408	0.0099230114862287
RNF145	55.0402254424772	45.1407505773241	3.58816602278623	0.000580696921347875	0.00999474062434307
UPK3B	18.6398602665341	2.99139445291554	3.57809807619218	0.000600206794594344	0.0103206987394294
FAM228A	0.98523314991303	0.337373030864198	3.57440695111392	0.000607514079487934	0.0104364098050948
FAXDC2	25.3805558169908	10.1451136192904	3.57109906069789	0.000614134306009735	0.0105401092157849
KIZ	28.2950978861088	20.0003560448842	3.57041768546644	0.000615506444530418	0.0105536266438715
CNP	90.4750579932224	48.0509808185185	3.56622244948781	0.000624018993611929	0.0106894335196047
RETSAT	16.7714335854356	14.0820031074189	3.56577403972852	0.000624935437043795	0.0106949851334841
TYRP1	2.35132805822238	0.652897100850404	3.56415065477991	0.000628263937429373	0.0107417664680751
ZNF469	1.00601931716045	0.363806112970513	3.56107872181219	0.00063460851674467	0.0108399780225402
KLHL30	0.889356356234818	0.229858134197531	3.55912588514532	0.000638673317500754	0.0108990990051759
ISM1	9.829191654296	2.20313668024691	3.55730244536859	0.000642491055416596	0.0109538961336607
KCNJ8	12.3564868830707	5.15892613178272	3.5566529801548	0.00064385605916316	0.0109668124039536
CSF3R	14.7068499327387	5.65055267464392	3.5535630861097	0.000650387936349807	0.0110676288320412
ADAM33	12.666406466725	2.50655587268362	3.55217671484237	0.000653339023947424	0.0111073786039272
PRMT2	65.6289594790458	67.7625725196338	3.55105819569608	0.000655729196707112	0.0111375264784073
DUSP4	29.6084812127905	13.739919508642	3.54993273700404	0.000658142562472981	0.0111680112457234
OTOA	0.775861367312063	0.23093302396988	3.54417755266403	0.000670615791547641	0.0113689841468476
SORBS1	20.9450649033396	9.04818615602617	3.54076464482749	0.000678118064519888	0.0114853861678298
TMEM200B	4.61403302591723	1.48878831084456	3.53992180177914	0.000679983013931926	0.0115061793032249
ZKSCAN7	5.28336237645906	3.32084015930882	3.53697530082574	0.000686540965739905	0.0116062707269981
PTK2	117.422704349793	73.3743090753962	3.53611992382098	0.000688455950604875	0.0116277569580646
AOX1	10.9632667990583	1.5228402725391	3.53567390320624	0.000689456490443783	0.0116337728364136
GLT8D1	38.2953720961007	50.5150027203457	3.53341360405847	0.000694548141933604	0.0117087457540721
ANXA8	4.17922255631755	1.03265360508252	3.53299381080896	0.000695497700711039	0.0117138162185987
PCDHB6	6.13242116498393	1.49964246003661	3.5316343182959	0.000698581275833386	0.011754785587299
USP19	23.9676530835679	18.9133605041704	3.53111200798661	0.000699769410011397	0.0117638144299402
C4BPA	68.8311653959364	12.5275501703704	3.52893626888172	0.000704739333688049	0.0118274982307976
ARHGEF25	27.4773386902467	18.5978076741137	3.52888022243791	0.000704867798190987	0.0118274982307976
ETV1	36.6494163173191	16.448057434662	3.52692369183977	0.000709366304578588	0.0118919300177961
NPHP3-ACAD11	3.23425110773584	0.889391522583579	3.52551830163493	0.000712614380298436	0.0119352992915476
SMOX	10.8443866462765	6.37859595298386	3.52490228947637	0.000714042515793132	0.0119481349607461
IL6ST	42.7555586559286	23.2399234284107	3.52418867830091	0.000715700309157145	0.0119647861868817
ACOX2	13.3435194047353	3.84139941580247	3.50937156105891	0.000750956693448744	0.0125425745607928
DPEP1	6.00442088293002	1.107790973612	3.5072957483899	0.000756025305466676	0.0126155608966736
SLC20A2	20.5036059093878	18.7237917724179	3.5009945063496	0.000771610408068431	0.012863735842729
CYP7B1	6.40506810297196	3.02251567308642	3.49793852966488	0.000779277886223785	0.0129795777082753
XPC	17.088932341775	12.646108724977	3.4929375751136	0.000791981052854494	0.0131790026813713
VEPH1	8.93344415380142	2.5724611965707	3.48934941492151	0.000801215944563182	0.0133203995203391
ABHD14A-ACY1	1.79383889938048	1.17308352708016	3.48337949276629	0.000816806887686916	0.0135671098042201
